mun_res,year_notif,mon_notif,cases
352710,2007,1,1
353490,2007,1,1
354460,2007,1,1
354890,2007,1,1
355630,2007,1,1
500070,2007,1,1
500270,2007,1,11
500320,2007,1,1
500800,2007,1,1
500830,2007,1,2
510700,2007,1,1
530010,2007,1,1
150010,2007,2,2
150020,2007,2,2
150080,2007,2,1
150120,2007,2,2
150130,2007,2,5
150145,2007,2,2
150190,2007,2,3
150230,2007,2,2
150275,2007,2,1
150320,2007,2,1
150370,2007,2,1
150400,2007,2,1
150460,2007,2,1
150470,2007,2,4
150650,2007,2,1
150680,2007,2,5
150800,2007,2,5
170210,2007,2,12
171610,2007,2,2
171665,2007,2,1
171820,2007,2,5
210060,2007,2,1
210160,2007,2,2
210300,2007,2,2
210330,2007,2,1
210340,2007,2,1
210420,2007,2,1
210530,2007,2,4
210542,2007,2,1
210550,2007,2,1
210570,2007,2,1
210780,2007,2,2
210900,2007,2,1
211070,2007,2,1
211105,2007,2,1
211120,2007,2,1
211130,2007,2,1
211220,2007,2,1
211300,2007,2,1
220150,2007,2,1
220275,2007,2,1
220370,2007,2,1
220390,2007,2,2
220550,2007,2,1
220770,2007,2,1
220790,2007,2,1
220830,2007,2,1
220850,2007,2,1
221050,2007,2,1
221100,2007,2,3
221130,2007,2,1
230110,2007,2,1
230160,2007,2,1
230190,2007,2,1
230370,2007,2,2
230428,2007,2,2
230430,2007,2,1
230440,2007,2,17
230470,2007,2,1
230590,2007,2,1
230625,2007,2,1
230630,2007,2,1
230730,2007,2,6
230765,2007,2,2
230770,2007,2,1
230930,2007,2,2
231030,2007,2,1
231070,2007,2,1
231126,2007,2,1
231290,2007,2,1
231390,2007,2,1
240310,2007,2,1
240325,2007,2,1
240360,2007,2,1
240800,2007,2,1
250370,2007,2,2
250630,2007,2,1
250750,2007,2,2
250890,2007,2,1
261020,2007,2,1
261080,2007,2,1
261110,2007,2,2
261160,2007,2,1
270030,2007,2,1
270240,2007,2,1
270290,2007,2,1
270640,2007,2,1
280030,2007,2,2
280210,2007,2,1
280480,2007,2,2
280750,2007,2,1
290050,2007,2,1
290115,2007,2,1
290210,2007,2,1
290323,2007,2,1
290390,2007,2,1
290590,2007,2,1
290600,2007,2,2
291250,2007,2,1
291340,2007,2,1
291535,2007,2,2
291685,2007,2,1
291750,2007,2,1
291840,2007,2,4
291950,2007,2,1
292060,2007,2,1
292230,2007,2,1
292303,2007,2,1
292630,2007,2,1
292730,2007,2,1
292880,2007,2,1
292990,2007,2,1
293030,2007,2,1
310020,2007,2,1
310170,2007,2,2
310480,2007,2,1
310620,2007,2,7
310650,2007,2,1
310730,2007,2,1
311840,2007,2,1
311860,2007,2,1
312230,2007,2,1
312980,2007,2,1
313505,2007,2,1
314085,2007,2,1
314505,2007,2,1
314700,2007,2,1
314710,2007,2,1
315220,2007,2,1
315460,2007,2,4
315780,2007,2,1
316720,2007,2,1
317040,2007,2,2
317120,2007,2,1
330455,2007,2,1
350010,2007,2,2
350280,2007,2,3
350600,2007,2,2
350650,2007,2,3
351440,2007,2,2
351820,2007,2,1
352710,2007,2,1
352740,2007,2,1
353060,2007,2,1
353480,2007,2,2
353890,2007,2,1
354870,2007,2,1
355510,2007,2,1
420820,2007,2,1
500110,2007,2,1
500210,2007,2,1
500270,2007,2,9
500320,2007,2,1
500750,2007,2,1
500830,2007,2,3
510704,2007,2,1
510770,2007,2,1
520140,2007,2,1
520170,2007,2,1
521040,2007,2,1
521350,2007,2,1
522045,2007,2,1
530010,2007,2,3
150010,2007,3,2
150020,2007,3,5
150140,2007,3,3
150210,2007,3,1
150230,2007,3,1
150275,2007,3,1
150309,2007,3,1
150330,2007,3,1
150460,2007,3,2
150470,2007,3,3
150550,2007,3,1
150670,2007,3,1
150720,2007,3,1
150800,2007,3,2
170100,2007,3,1
170210,2007,3,14
170220,2007,3,4
170380,2007,3,1
170600,2007,3,1
170950,2007,3,1
171820,2007,3,1
172080,2007,3,1
172100,2007,3,3
210005,2007,3,1
210095,2007,3,1
210140,2007,3,1
210150,2007,3,1
210210,2007,3,2
210280,2007,3,2
210300,2007,3,2
210320,2007,3,1
210330,2007,3,1
210340,2007,3,1
210350,2007,3,1
210360,2007,3,2
210400,2007,3,1
210480,2007,3,1
210530,2007,3,2
210550,2007,3,1
210570,2007,3,1
210750,2007,3,1
210900,2007,3,1
210945,2007,3,1
211030,2007,3,1
211070,2007,3,2
211120,2007,3,1
211130,2007,3,2
211174,2007,3,1
211230,2007,3,1
211260,2007,3,1
220120,2007,3,1
220191,2007,3,1
220200,2007,3,1
220290,2007,3,2
220335,2007,3,1
220620,2007,3,2
220700,2007,3,1
220770,2007,3,1
221100,2007,3,7
230030,2007,3,1
230185,2007,3,3
230190,2007,3,3
230280,2007,3,1
230370,2007,3,1
230410,2007,3,2
230428,2007,3,2
230440,2007,3,16
230470,2007,3,1
230580,2007,3,1
230630,2007,3,1
230730,2007,3,2
230780,2007,3,1
230840,2007,3,1
230890,2007,3,2
231030,2007,3,1
231126,2007,3,1
231290,2007,3,3
240710,2007,3,1
240800,2007,3,3
250370,2007,3,1
250750,2007,3,1
260390,2007,3,1
260410,2007,3,1
260490,2007,3,1
260620,2007,3,1
260990,2007,3,2
261110,2007,3,2
261580,2007,3,1
270644,2007,3,1
280030,2007,3,1
280060,2007,3,2
280070,2007,3,1
280210,2007,3,3
280530,2007,3,1
280560,2007,3,1
290050,2007,3,1
290265,2007,3,1
290360,2007,3,1
290370,2007,3,1
290530,2007,3,1
290600,2007,3,1
290620,2007,3,1
290720,2007,3,1
291040,2007,3,1
291200,2007,3,1
291410,2007,3,1
291460,2007,3,1
291470,2007,3,1
291535,2007,3,1
291650,2007,3,1
291720,2007,3,1
291800,2007,3,1
291840,2007,3,4
292330,2007,3,1
292340,2007,3,1
292595,2007,3,1
292690,2007,3,1
310620,2007,3,9
310860,2007,3,1
311840,2007,3,1
312550,2007,3,1
312980,2007,3,3
313510,2007,3,3
313865,2007,3,1
313930,2007,3,1
314230,2007,3,1
314290,2007,3,1
314330,2007,3,2
314700,2007,3,2
315460,2007,3,3
315700,2007,3,1
315780,2007,3,2
316860,2007,3,1
317040,2007,3,3
350280,2007,3,3
350650,2007,3,2
351100,2007,3,1
351440,2007,3,5
351640,2007,3,1
351820,2007,3,2
353010,2007,3,1
500070,2007,3,1
500230,2007,3,1
500270,2007,3,9
500520,2007,3,1
500740,2007,3,1
500830,2007,3,1
510300,2007,3,1
520490,2007,3,1
530010,2007,3,1
150020,2007,4,1
150080,2007,4,1
150120,2007,4,1
150130,2007,4,2
150190,2007,4,1
150200,2007,4,1
150210,2007,4,5
150275,2007,4,1
150460,2007,4,1
150470,2007,4,4
150520,2007,4,1
150550,2007,4,1
150660,2007,4,1
150790,2007,4,1
150795,2007,4,2
160080,2007,4,1
170210,2007,4,30
170215,2007,4,1
170930,2007,4,1
171610,2007,4,2
171665,2007,4,3
171820,2007,4,1
172100,2007,4,3
172120,2007,4,2
172208,2007,4,1
210060,2007,4,1
210140,2007,4,3
210210,2007,4,1
210280,2007,4,1
210300,2007,4,2
210330,2007,4,3
210340,2007,4,1
210360,2007,4,3
210455,2007,4,1
210530,2007,4,2
210550,2007,4,1
210750,2007,4,1
211120,2007,4,2
211130,2007,4,4
211210,2007,4,1
211270,2007,4,2
220030,2007,4,1
220198,2007,4,1
220335,2007,4,1
220370,2007,4,1
220390,2007,4,1
220415,2007,4,1
220620,2007,4,1
220635,2007,4,1
220680,2007,4,1
220770,2007,4,2
220850,2007,4,1
220880,2007,4,1
220987,2007,4,1
221100,2007,4,1
221130,2007,4,1
230110,2007,4,1
230185,2007,4,1
230190,2007,4,5
230230,2007,4,1
230250,2007,4,2
230310,2007,4,1
230320,2007,4,1
230365,2007,4,1
230370,2007,4,3
230410,2007,4,1
230420,2007,4,3
230440,2007,4,15
230470,2007,4,1
230500,2007,4,1
230540,2007,4,1
230570,2007,4,1
230580,2007,4,1
230730,2007,4,2
230750,2007,4,1
230890,2007,4,1
230920,2007,4,1
231020,2007,4,1
231180,2007,4,1
231200,2007,4,2
231330,2007,4,1
231340,2007,4,1
231390,2007,4,1
231395,2007,4,1
240230,2007,4,1
251100,2007,4,1
260410,2007,4,1
260620,2007,4,1
260720,2007,4,1
261160,2007,4,1
270430,2007,4,1
270470,2007,4,1
270630,2007,4,1
280030,2007,4,1
280240,2007,4,1
280480,2007,4,1
280560,2007,4,1
290035,2007,4,1
290170,2007,4,1
290590,2007,4,1
291200,2007,4,2
291320,2007,4,1
291535,2007,4,2
291685,2007,4,2
291720,2007,4,2
291800,2007,4,1
291840,2007,4,1
291950,2007,4,4
291980,2007,4,1
292320,2007,4,1
292520,2007,4,1
292730,2007,4,1
292810,2007,4,1
292970,2007,4,1
293260,2007,4,1
310190,2007,4,1
310340,2007,4,1
310620,2007,4,6
310945,2007,4,1
311860,2007,4,1
313630,2007,4,3
313660,2007,4,1
314085,2007,4,2
314330,2007,4,3
314700,2007,4,1
315220,2007,4,1
315460,2007,4,2
317040,2007,4,2
317120,2007,4,1
350010,2007,4,1
350070,2007,4,1
350280,2007,4,1
350880,2007,4,2
351440,2007,4,2
353480,2007,4,1
353740,2007,4,1
411375,2007,4,1
500070,2007,4,1
500230,2007,4,2
500270,2007,4,7
500800,2007,4,1
510840,2007,4,1
520140,2007,4,5
530010,2007,4,1
110045,2007,5,1
110070,2007,5,1
110140,2007,5,1
150010,2007,5,2
150020,2007,5,1
150120,2007,5,1
150130,2007,5,5
150145,2007,5,1
150190,2007,5,2
150210,2007,5,3
150307,2007,5,2
150442,2007,5,1
150460,2007,5,1
150470,2007,5,3
150565,2007,5,1
150570,2007,5,2
150630,2007,5,1
150680,2007,5,1
150795,2007,5,1
150800,2007,5,2
150810,2007,5,2
170210,2007,5,33
170215,2007,5,1
170220,2007,5,1
170255,2007,5,1
170290,2007,5,1
170380,2007,5,1
170600,2007,5,1
170930,2007,5,1
171330,2007,5,1
171610,2007,5,3
171665,2007,5,1
171750,2007,5,1
171820,2007,5,2
172080,2007,5,1
172100,2007,5,5
172120,2007,5,1
210005,2007,5,1
210120,2007,5,2
210160,2007,5,2
210270,2007,5,1
210280,2007,5,2
210300,2007,5,4
210320,2007,5,2
210330,2007,5,2
210340,2007,5,2
210350,2007,5,1
210390,2007,5,1
210455,2007,5,1
210530,2007,5,2
210640,2007,5,1
210700,2007,5,1
210750,2007,5,1
210900,2007,5,2
210910,2007,5,1
210950,2007,5,1
211010,2007,5,1
211130,2007,5,3
211180,2007,5,1
211220,2007,5,2
211250,2007,5,1
220196,2007,5,1
220200,2007,5,1
220220,2007,5,1
220271,2007,5,1
220290,2007,5,1
220310,2007,5,1
220470,2007,5,1
220770,2007,5,4
220780,2007,5,1
220930,2007,5,1
221000,2007,5,1
221100,2007,5,2
230030,2007,5,1
230110,2007,5,2
230190,2007,5,1
230230,2007,5,1
230370,2007,5,2
230390,2007,5,1
230420,2007,5,1
230430,2007,5,1
230440,2007,5,19
230480,2007,5,1
230550,2007,5,1
230580,2007,5,1
230625,2007,5,3
230730,2007,5,2
230750,2007,5,1
230765,2007,5,2
230770,2007,5,1
230835,2007,5,1
230837,2007,5,1
231195,2007,5,1
231230,2007,5,1
231290,2007,5,4
231350,2007,5,1
231410,2007,5,1
240020,2007,5,1
240360,2007,5,2
240370,2007,5,1
240750,2007,5,1
240800,2007,5,3
241280,2007,5,1
250130,2007,5,1
250370,2007,5,2
250430,2007,5,1
250890,2007,5,1
261485,2007,5,2
270200,2007,5,1
270644,2007,5,1
270920,2007,5,1
280030,2007,5,3
280120,2007,5,1
280640,2007,5,1
290460,2007,5,2
290570,2007,5,1
290700,2007,5,1
290860,2007,5,1
291005,2007,5,1
291050,2007,5,1
291170,2007,5,1
291685,2007,5,1
291800,2007,5,1
291915,2007,5,1
292120,2007,5,1
292400,2007,5,1
292730,2007,5,1
292840,2007,5,1
292890,2007,5,1
292980,2007,5,1
292990,2007,5,1
310340,2007,5,1
310620,2007,5,8
311800,2007,5,1
311860,2007,5,1
312090,2007,5,1
312670,2007,5,1
313110,2007,5,1
313210,2007,5,1
313510,2007,5,1
313520,2007,5,1
313630,2007,5,8
313753,2007,5,1
314085,2007,5,2
314330,2007,5,3
314700,2007,5,2
315120,2007,5,1
315460,2007,5,3
315670,2007,5,2
315780,2007,5,4
316720,2007,5,2
317040,2007,5,4
317100,2007,5,1
317120,2007,5,1
330300,2007,5,1
350210,2007,5,1
350280,2007,5,2
350600,2007,5,4
350650,2007,5,2
351090,2007,5,1
351340,2007,5,1
351440,2007,5,5
351870,2007,5,1
352600,2007,5,1
352710,2007,5,1
352740,2007,5,1
355030,2007,5,1
355250,2007,5,1
355510,2007,5,2
500230,2007,5,1
500270,2007,5,16
500320,2007,5,1
510790,2007,5,1
520017,2007,5,1
520640,2007,5,1
530010,2007,5,1
150020,2007,6,1
150130,2007,6,1
150190,2007,6,3
150210,2007,6,5
150270,2007,6,1
150275,2007,6,2
150307,2007,6,1
150442,2007,6,1
150470,2007,6,8
150570,2007,6,1
150680,2007,6,3
150710,2007,6,1
150720,2007,6,1
150800,2007,6,2
150812,2007,6,1
150815,2007,6,1
170030,2007,6,1
170100,2007,6,1
170210,2007,6,13
170220,2007,6,5
170255,2007,6,1
171320,2007,6,1
171610,2007,6,4
172080,2007,6,1
172100,2007,6,4
172120,2007,6,1
172208,2007,6,1
210060,2007,6,1
210120,2007,6,1
210160,2007,6,2
210270,2007,6,1
210300,2007,6,4
210325,2007,6,1
210330,2007,6,2
210380,2007,6,1
210530,2007,6,2
210560,2007,6,1
210910,2007,6,1
210945,2007,6,2
210950,2007,6,1
211120,2007,6,1
211130,2007,6,8
211220,2007,6,3
211230,2007,6,1
211250,2007,6,1
211260,2007,6,2
220020,2007,6,1
220040,2007,6,1
220050,2007,6,1
220180,2007,6,1
220220,2007,6,1
220550,2007,6,2
220635,2007,6,1
220670,2007,6,1
220770,2007,6,1
220830,2007,6,1
220840,2007,6,1
221000,2007,6,1
221095,2007,6,1
221100,2007,6,10
230010,2007,6,1
230030,2007,6,1
230110,2007,6,2
230190,2007,6,4
230280,2007,6,1
230370,2007,6,2
230400,2007,6,1
230410,2007,6,1
230420,2007,6,1
230440,2007,6,16
230580,2007,6,1
230590,2007,6,2
230730,2007,6,3
230740,2007,6,1
230765,2007,6,1
230840,2007,6,1
230890,2007,6,1
230910,2007,6,1
230930,2007,6,1
231190,2007,6,1
231240,2007,6,1
240020,2007,6,1
240325,2007,6,1
240800,2007,6,2
240810,2007,6,1
250460,2007,6,1
260160,2007,6,1
260670,2007,6,1
260990,2007,6,1
261070,2007,6,1
261110,2007,6,3
261420,2007,6,1
270260,2007,6,1
270720,2007,6,1
270920,2007,6,1
280030,2007,6,1
280210,2007,6,2
280350,2007,6,1
280445,2007,6,1
280480,2007,6,1
290460,2007,6,1
290475,2007,6,1
290490,2007,6,1
290760,2007,6,1
290990,2007,6,1
291010,2007,6,1
291080,2007,6,1
291200,2007,6,1
291250,2007,6,1
291300,2007,6,1
291340,2007,6,1
291840,2007,6,2
291875,2007,6,1
292225,2007,6,1
292730,2007,6,1
292890,2007,6,1
310600,2007,6,1
310620,2007,6,8
311860,2007,6,1
312090,2007,6,1
312770,2007,6,1
313400,2007,6,1
313510,2007,6,1
313630,2007,6,10
314505,2007,6,1
314700,2007,6,1
315220,2007,6,1
315460,2007,6,1
315670,2007,6,2
316720,2007,6,1
317040,2007,6,3
317120,2007,6,1
350010,2007,6,1
350280,2007,6,7
350650,2007,6,1
351440,2007,6,5
352200,2007,6,1
353010,2007,6,1
353890,2007,6,1
355030,2007,6,1
500110,2007,6,1
500215,2007,6,1
500230,2007,6,1
500270,2007,6,7
500320,2007,6,1
500830,2007,6,2
510180,2007,6,1
510610,2007,6,1
510650,2007,6,1
510760,2007,6,1
520620,2007,6,1
140045,2007,7,1
140070,2007,7,1
150010,2007,7,1
150020,2007,7,4
150080,2007,7,1
150120,2007,7,1
150130,2007,7,2
150190,2007,7,1
150210,2007,7,6
150270,2007,7,1
150307,2007,7,1
150460,2007,7,1
150470,2007,7,5
150520,2007,7,1
150680,2007,7,3
150720,2007,7,1
150800,2007,7,1
170210,2007,7,32
170220,2007,7,1
170255,2007,7,2
170290,2007,7,1
170380,2007,7,4
171610,2007,7,1
171820,2007,7,1
172090,2007,7,1
172100,2007,7,2
172120,2007,7,1
210030,2007,7,1
210160,2007,7,1
210170,2007,7,1
210280,2007,7,1
210300,2007,7,5
210330,2007,7,4
210340,2007,7,5
210360,2007,7,1
210530,2007,7,2
210600,2007,7,1
210750,2007,7,1
210845,2007,7,1
210900,2007,7,1
210945,2007,7,4
211070,2007,7,2
211085,2007,7,1
211090,2007,7,1
211120,2007,7,3
211130,2007,7,4
211220,2007,7,4
211250,2007,7,1
211270,2007,7,1
220040,2007,7,1
220120,2007,7,1
220177,2007,7,1
220190,2007,7,1
220220,2007,7,1
220260,2007,7,1
220320,2007,7,1
220465,2007,7,1
220550,2007,7,1
220600,2007,7,1
220635,2007,7,1
220700,2007,7,1
220770,2007,7,1
220820,2007,7,1
220840,2007,7,1
221050,2007,7,1
221070,2007,7,1
221095,2007,7,1
221100,2007,7,11
230185,2007,7,1
230190,2007,7,3
230280,2007,7,3
230300,2007,7,1
230365,2007,7,1
230370,2007,7,4
230420,2007,7,2
230440,2007,7,14
230465,2007,7,1
230580,2007,7,1
230590,2007,7,1
230730,2007,7,3
230765,2007,7,3
230850,2007,7,1
230890,2007,7,2
230900,2007,7,1
231110,2007,7,1
231180,2007,7,1
231290,2007,7,4
231410,2007,7,1
240800,2007,7,4
241010,2007,7,1
241200,2007,7,1
250330,2007,7,1
261110,2007,7,1
270470,2007,7,1
270630,2007,7,1
270840,2007,7,1
270930,2007,7,1
280030,2007,7,5
280210,2007,7,2
280330,2007,7,1
280560,2007,7,1
280620,2007,7,1
280670,2007,7,1
290270,2007,7,1
290460,2007,7,1
291250,2007,7,1
291310,2007,7,2
291840,2007,7,1
291850,2007,7,1
291875,2007,7,1
291950,2007,7,1
291995,2007,7,1
292040,2007,7,1
292045,2007,7,1
292060,2007,7,1
292120,2007,7,1
292170,2007,7,1
292870,2007,7,1
292905,2007,7,1
292970,2007,7,1
292980,2007,7,1
293075,2007,7,1
293360,2007,7,1
310620,2007,7,12
311840,2007,7,2
311860,2007,7,1
312090,2007,7,2
313520,2007,7,1
313580,2007,7,1
313630,2007,7,3
314290,2007,7,1
314330,2007,7,6
314480,2007,7,2
314700,2007,7,4
315200,2007,7,1
315460,2007,7,1
315670,2007,7,2
315780,2007,7,3
316720,2007,7,1
317040,2007,7,2
350070,2007,7,1
350210,2007,7,1
350280,2007,7,3
350420,2007,7,1
350550,2007,7,1
350600,2007,7,1
350650,2007,7,2
351440,2007,7,3
351600,2007,7,1
352710,2007,7,2
353510,2007,7,1
355510,2007,7,1
500220,2007,7,1
500270,2007,7,17
500290,2007,7,1
500320,2007,7,2
500540,2007,7,1
500600,2007,7,1
500830,2007,7,1
510760,2007,7,1
510840,2007,7,2
520490,2007,7,2
530010,2007,7,1
130330,2007,8,1
150010,2007,8,4
150120,2007,8,2
150130,2007,8,3
150140,2007,8,2
150190,2007,8,3
150210,2007,8,1
150220,2007,8,1
150230,2007,8,1
150275,2007,8,2
150330,2007,8,1
150345,2007,8,1
150460,2007,8,1
150470,2007,8,1
150520,2007,8,2
150630,2007,8,1
150680,2007,8,1
150795,2007,8,1
150810,2007,8,1
170210,2007,8,40
170215,2007,8,2
170220,2007,8,2
170600,2007,8,1
171320,2007,8,1
171570,2007,8,1
171610,2007,8,4
171720,2007,8,1
171820,2007,8,3
172100,2007,8,1
172120,2007,8,1
172208,2007,8,2
210120,2007,8,1
210300,2007,8,9
210330,2007,8,4
210340,2007,8,4
210360,2007,8,1
210530,2007,8,3
210540,2007,8,1
210570,2007,8,1
210590,2007,8,1
210770,2007,8,1
210820,2007,8,2
210880,2007,8,1
210900,2007,8,1
210960,2007,8,1
210990,2007,8,1
211110,2007,8,1
211130,2007,8,6
211220,2007,8,6
211260,2007,8,2
220120,2007,8,3
220177,2007,8,1
220220,2007,8,1
220260,2007,8,1
220280,2007,8,1
220556,2007,8,1
220700,2007,8,1
220770,2007,8,4
220840,2007,8,1
220850,2007,8,1
221000,2007,8,2
221070,2007,8,1
221100,2007,8,8
230190,2007,8,2
230200,2007,8,1
230280,2007,8,1
230370,2007,8,6
230420,2007,8,1
230423,2007,8,1
230440,2007,8,32
230470,2007,8,2
230550,2007,8,1
230590,2007,8,1
230630,2007,8,1
230640,2007,8,1
230730,2007,8,3
230770,2007,8,2
230780,2007,8,1
230800,2007,8,1
230850,2007,8,1
230960,2007,8,1
230970,2007,8,1
231010,2007,8,1
231030,2007,8,1
231080,2007,8,1
231290,2007,8,2
240020,2007,8,1
240260,2007,8,1
240310,2007,8,1
240800,2007,8,5
240810,2007,8,1
240830,2007,8,1
241200,2007,8,1
260345,2007,8,1
260620,2007,8,1
261220,2007,8,1
270800,2007,8,1
280030,2007,8,3
280210,2007,8,1
280280,2007,8,1
280570,2007,8,1
290110,2007,8,1
290210,2007,8,2
290320,2007,8,1
290460,2007,8,1
290620,2007,8,1
291060,2007,8,1
291080,2007,8,2
291190,2007,8,1
291310,2007,8,1
291440,2007,8,1
292170,2007,8,1
292190,2007,8,1
292595,2007,8,1
292730,2007,8,1
292740,2007,8,1
292900,2007,8,1
292980,2007,8,1
293076,2007,8,1
293245,2007,8,1
310620,2007,8,9
310670,2007,8,1
310900,2007,8,1
311840,2007,8,2
311860,2007,8,3
312160,2007,8,1
312980,2007,8,1
313110,2007,8,1
313510,2007,8,1
313665,2007,8,1
314700,2007,8,2
315210,2007,8,1
315220,2007,8,1
315360,2007,8,1
315460,2007,8,4
316045,2007,8,1
330455,2007,8,1
350210,2007,8,1
350280,2007,8,1
350600,2007,8,6
350650,2007,8,1
351440,2007,8,3
351500,2007,8,1
351600,2007,8,1
352600,2007,8,2
353640,2007,8,1
353730,2007,8,1
500070,2007,8,1
500230,2007,8,2
500270,2007,8,16
500710,2007,8,3
500800,2007,8,1
500830,2007,8,5
510340,2007,8,1
510704,2007,8,1
510760,2007,8,1
520140,2007,8,1
520970,2007,8,1
530010,2007,8,1
150020,2007,9,7
150060,2007,9,1
150080,2007,9,1
150095,2007,9,2
150120,2007,9,1
150130,2007,9,2
150178,2007,9,1
150190,2007,9,3
150210,2007,9,1
150240,2007,9,1
150270,2007,9,3
150275,2007,9,1
150345,2007,9,1
150405,2007,9,1
150420,2007,9,1
150460,2007,9,1
150470,2007,9,1
150650,2007,9,1
150670,2007,9,1
150680,2007,9,1
150800,2007,9,1
150810,2007,9,1
170100,2007,9,1
170110,2007,9,1
170210,2007,9,19
170220,2007,9,1
170380,2007,9,3
170950,2007,9,1
171395,2007,9,1
171610,2007,9,2
171665,2007,9,1
172100,2007,9,4
172120,2007,9,1
210005,2007,9,1
210120,2007,9,1
210140,2007,9,1
210270,2007,9,1
210300,2007,9,4
210330,2007,9,2
210340,2007,9,3
210350,2007,9,1
210409,2007,9,1
210455,2007,9,1
210480,2007,9,1
210530,2007,9,2
210550,2007,9,1
210570,2007,9,1
210600,2007,9,1
210800,2007,9,1
211010,2007,9,1
211110,2007,9,1
211120,2007,9,2
211130,2007,9,4
211160,2007,9,1
211210,2007,9,2
211220,2007,9,4
220020,2007,9,1
220120,2007,9,1
220202,2007,9,1
220270,2007,9,1
220290,2007,9,1
220390,2007,9,3
220550,2007,9,1
220635,2007,9,1
220700,2007,9,1
220810,2007,9,1
220840,2007,9,1
220865,2007,9,1
221000,2007,9,1
221060,2007,9,1
221100,2007,9,14
221110,2007,9,1
230100,2007,9,1
230110,2007,9,1
230190,2007,9,1
230200,2007,9,1
230370,2007,9,1
230410,2007,9,1
230420,2007,9,2
230440,2007,9,20
230470,2007,9,1
230580,2007,9,1
230590,2007,9,1
230630,2007,9,1
230730,2007,9,3
230770,2007,9,2
230837,2007,9,1
230870,2007,9,2
230920,2007,9,1
230960,2007,9,1
231120,2007,9,1
231130,2007,9,1
231180,2007,9,1
231290,2007,9,2
231390,2007,9,1
231400,2007,9,1
240380,2007,9,1
240800,2007,9,3
241335,2007,9,1
250205,2007,9,1
250350,2007,9,1
251250,2007,9,1
260790,2007,9,1
261020,2007,9,1
261110,2007,9,1
261310,2007,9,1
270230,2007,9,1
270642,2007,9,1
270670,2007,9,1
270840,2007,9,1
280030,2007,9,2
280320,2007,9,1
280600,2007,9,1
290050,2007,9,1
290130,2007,9,1
290170,2007,9,1
290410,2007,9,1
290530,2007,9,1
290570,2007,9,1
290710,2007,9,1
290860,2007,9,2
291170,2007,9,1
291340,2007,9,1
291800,2007,9,1
292730,2007,9,1
310270,2007,9,1
310540,2007,9,1
310620,2007,9,9
310670,2007,9,1
311860,2007,9,2
312260,2007,9,1
